,lemma,count,translation
800,δικασπολίης,1,
801,δικαιοσύνηνῑγݲ,1,
802,δικαιοπραγήματος,1,
803,ἄδικονδικαίωμα,1,
804,δικαιπραγεῖν,1,
805,δικαιοπραγήσιε,1,
806,δικαιοσύην,1,
807,δίκαιατοιαῦτα,1,
808,δικαιοπραγοῦμεν,1,
809,ἀδικοπραγήματος,1,
810,ἀδικοπράγημα,1,
811,δικαιοπράγμηα,1,
812,δικαιοπραγήσας,1,
813,ἐκδικούμενος,1,
814,ἀδικάς,1,
815,ἀδικούνενον,1,
816,δικαιοπρα,1,
817,δίκαιονἀνάλογον,1,
818,δικατοπράγημα,1,
819,δικαιώσειζεύς,1,
820,δικαιοπραγήματα,1,
821,ἄδίκαιον,1,
822,δικαιςτήρια,1,
823,δικαιολογούμεθα,1,
824,δικασθείσαις,1,
825,δικαΰτάς,1,
826,δικάξειν,1,
827,δικασπολίη,1,
828,καταδικάσαντεσ,1,
829,δικατων,1,
830,δικησάντων,1,
831,δικαστικῶσ,1,
832,δικαιούνῃ,1,
833,δικαιοσύηῃ,1,
834,δικαιώμενα,1,
835,δικαιοθησόμεθα,1,
836,δικαιοληούμένος,1,
837,καταδικάσωσιν,1,
838,καταδικασθησόμεθα,1,
839,καταδικάσθησαν,1,
840,δικαιωθῆς,1,
841,δικαιούμενα,1,
842,δικαιοῦντι,1,
843,δικαιοῦμαι,1,
844,δίκαοι,1,
845,καταδικαυμἑνην,1,
846,δικαισῦντος,1,
847,δικαιοπραγήσῃ,1,
848,καταδικάζοντος,1,
849,δικαιωτάτοις,1,
850,δικαιωσύνῃ,1,
851,συγκαταδικασθήσεται,1,
852,ἐκδικούμενοι,1,
853,δικαιούσης,1,
854,δικαιῶσθαι,1,
855,δικαιοδικαιοσύνην,1,
856,δικασίᾳ,1,
857,καταδικασθείσης,1,
858,ἐκδικίαις,1,
859,δικαιοδοσίᾳ,1,
860,δικαιψσύνης,1,
861,δικαιοῦντας,1,
862,καταδικασθήσεσθαι,1,
863,συγκαταδικαζόμενον,1,
864,δίκηνπυλῶν,1,
865,δικαιολογεῖ,1,
866,δικάσοντα,1,
867,ἐκδικητὴς,1,
868,δίκαιασωματοποιεῖ,1,
869,καταδικασθείσας,1,
870,ἀντίδικα,1,
871,δικαιάρχω,1,
872,ἐκδικίανπαρέλαβε,1,
873,ἐκδικίαςπαρέβαλε,1,
874,δικαίωςʼ,1,
875,δικαιολογικῇ,1,
876,δικαιολογουμένοις,1,
877,ἀδικηθῆ,1,
878,ἄδικοντοὐναντίον,1,
879,ἐκδικουμένων,1,
880,ἀδικίῳ,1,
881,δικαᾳ,1,
882,δικαίαρ,1,
883,δίκησις,1,
884,δίκος,1,
885,δικαιολογικῷ,1,
886,δικαιολογικώτερον,1,
887,δικαςίαν,1,
888,δικασίαν,1,
889,δικασπόλε,1,
890,δικολέκτας,1,
891,ἀδικηθεῖ,1,
892,ἀδικοδοξία,1,
893,δικάρανον,1,
894,δικασίαις,1,
895,δικαιοπραγεῖς,1,
896,δικαιώσειν,1,
897,δικαιωσάμενοι,1,
898,ἀδικοῦντ,1,
899,δικαιώσειαν,1,
900,δικαιώσειεν,1,
